time,open_,high,low,close,volume,unknown
2023-03-03T12:05:00+0530,88.13,88.13,88.13,88.13,0,4494
2023-03-03T12:10:00+0530,88.13,88.13,88.13,88.13,2,4491
2023-03-03T12:15:00+0530,88.13,88.13,88.1075,88.1075,7,4491
2023-03-03T12:20:00+0530,88.1075,88.125,88.1075,88.125,7,4488
2023-03-03T12:25:00+0530,88.125,88.125,88.125,88.125,0,4488
2023-03-03T12:30:00+0530,88.125,88.125,88.1075,88.1075,2,4484
2023-03-03T12:35:00+0530,88.1075,88.11,88.1075,88.11,2,4485
2023-03-03T12:40:00+0530,88.11,88.11,88.11,88.11,1,4485
2023-03-03T12:45:00+0530,88.11,88.15,88.11,88.1375,30,4486
2023-03-03T12:50:00+0530,88.1375,88.1375,88.09,88.1075,565,4567
2023-03-03T12:55:00+0530,88.1075,88.1225,88.1075,88.1125,14,4567
2023-03-03T13:00:00+0530,88.1125,88.1275,88.0675,88.0675,20,4532
2023-03-03T13:05:00+0530,88.0675,88.0675,88.0425,88.05,78,4547
2023-03-03T13:10:00+0530,88.05,88.05,88.035,88.04,81,4546
2023-03-03T13:15:00+0530,88.04,88.04,87.98,87.98,79,4558
2023-03-03T13:20:00+0530,87.98,87.9925,87.98,87.9875,26,4539
2023-03-03T13:25:00+0530,87.9875,87.9875,87.95,87.95,45,4531
2023-03-03T13:30:00+0530,87.95,87.95,87.94,87.94,12,4521
2023-03-03T13:35:00+0530,87.94,87.94,87.89,87.9175,184,4572
2023-03-03T13:40:00+0530,87.9175,87.9175,87.8375,87.8575,76,4557
2023-03-03T13:45:00+0530,87.8575,87.945,87.8575,87.945,1182,4063
2023-03-03T13:50:00+0530,87.945,87.9525,87.9275,87.9275,15,4084
2023-03-03T13:55:00+0530,87.9275,87.9275,87.87,87.87,28,4082
2023-03-03T14:00:00+0530,87.87,87.87,87.8325,87.86,52,4067
2023-03-03T14:05:00+0530,87.86,87.8625,87.8575,87.86,16,4048
2023-03-03T14:10:00+0530,87.86,87.9,87.86,87.8675,38,4059
2023-03-03T14:15:00+0530,87.8675,87.8675,87.865,87.865,11,4067
2023-03-03T14:20:00+0530,87.865,87.92,87.865,87.92,168,4076
2023-03-03T14:25:00+0530,87.92,87.94,87.92,87.9375,32,4077
2023-03-03T14:30:00+0530,87.9375,87.94,87.93,87.935,16,4087
2023-03-03T14:35:00+0530,87.935,87.935,87.9,87.9,89,4077
2023-03-03T14:40:00+0530,87.9,87.9,87.85,87.85,11,4037
2023-03-03T14:45:00+0530,87.85,87.86,87.85,87.85,58,4082
2023-03-03T14:50:00+0530,87.85,87.85,87.85,87.85,5,4082
2023-03-03T14:55:00+0530,87.85,87.85,87.85,87.85,0,4082
2023-03-03T15:00:00+0530,87.85,87.8825,87.85,87.8825,4,4087
2023-03-03T15:05:00+0530,87.8825,87.8825,87.83,87.83,29,4100
2023-03-03T15:10:00+0530,87.83,87.865,87.81,87.865,78,4098
2023-03-03T15:15:00+0530,87.865,87.865,87.845,87.865,65,4075
2023-03-03T15:20:00+0530,87.865,87.865,87.8275,87.8275,9,4071
2023-03-03T15:25:00+0530,87.8275,87.85,87.8,87.8,46,4073
2023-03-03T15:30:00+0530,87.8,87.8,87.7775,87.78,39,4044
2023-03-03T15:35:00+0530,87.78,87.795,87.75,87.7525,110,4028
2023-03-03T15:40:00+0530,87.7525,87.795,87.7525,87.795,23,4043
2023-03-03T15:45:00+0530,87.795,87.805,87.795,87.805,3,4050
2023-03-03T15:50:00+0530,87.805,87.805,87.805,87.805,2,4053
2023-03-03T15:55:00+0530,87.805,87.82,87.7925,87.82,89,4085
2023-03-03T16:00:00+0530,87.82,87.825,87.82,87.825,13,4101
2023-03-03T16:05:00+0530,87.825,87.855,87.825,87.855,8,4114
2023-03-03T16:10:00+0530,87.855,87.865,87.855,87.865,1,4114
2023-03-03T16:15:00+0530,87.865,87.8775,87.865,87.8775,13,4115
2023-03-03T16:20:00+0530,87.8775,87.8775,87.8125,87.8125,25,4114
2023-03-03T16:25:00+0530,87.8125,87.8125,87.8125,87.8125,1,4114
2023-03-03T16:30:00+0530,87.8125,87.835,87.8125,87.835,38,4119
2023-03-03T16:35:00+0530,87.835,87.835,87.835,87.835,0,4119
2023-03-03T16:40:00+0530,87.835,87.835,87.7925,87.7925,20,4119
2023-03-03T16:45:00+0530,87.7925,87.8125,87.7925,87.81,43,4129
2023-03-03T16:50:00+0530,87.81,87.83,87.81,87.8225,19,4147
2023-03-03T16:55:00+0530,87.8225,87.8225,87.79,87.79,126,4147
2023-03-06T09:00:00+0530,87.85,87.94,87.85,87.9175,58,4108
2023-03-06T09:05:00+0530,87.9175,87.95,87.9175,87.94,139,4255
2023-03-06T09:10:00+0530,87.94,87.95,87.94,87.9425,21,4259
2023-03-06T09:15:00+0530,87.9425,87.955,87.9175,87.9175,39,4252
2023-03-06T09:20:00+0530,87.9175,87.9175,87.85,87.85,38,4233
2023-03-06T09:25:00+0530,87.85,87.85,87.8425,87.845,16,4233
2023-03-06T09:30:00+0530,87.845,87.865,87.8275,87.83,118,4166
2023-03-06T09:35:00+0530,87.8275,87.8425,87.8275,87.8425,73,4206
2023-03-06T09:40:00+0530,87.8425,87.8875,87.825,87.8875,84,4216
2023-03-06T09:45:00+0530,87.8875,87.91,87.8875,87.9,30,4220
2023-03-06T09:50:00+0530,87.9,87.9,87.89,87.9,7,4206
2023-03-06T09:55:00+0530,87.9,87.905,87.9,87.905,25,4206
2023-03-06T10:00:00+0530,87.905,87.905,87.885,87.885,23,4201
2023-03-06T10:05:00+0530,87.885,87.9075,87.885,87.9075,2,4183
2023-03-06T10:10:00+0530,87.9075,87.9075,87.9075,87.9075,0,4183
